Date,Time,Open,High,Low,Close,Volume
2018.01.16,14:00,6.43791,6.44004,6.43514,6.43712,1886
2018.01.16,15:00,6.43724,6.44294,6.43724,6.44203,3062
2018.01.16,16:00,6.44209,6.44714,6.44143,6.44414,3234
2018.01.16,17:00,6.44406,6.44456,6.43951,6.44028,3098
2018.01.16,18:00,6.44028,6.44384,6.43888,6.44006,2265
2018.01.16,19:00,6.44014,6.44224,6.43839,6.43924,1091
2018.01.16,20:00,6.43924,6.44051,6.43519,6.43574,1134
2018.01.16,21:00,6.43574,6.43714,6.43158,6.43616,1492
2018.01.16,22:00,6.43611,6.43674,6.43405,6.43614,1017
2018.01.17,1:00,6.43631,6.43652,6.42938,6.43034,1318
2018.01.17,2:00,6.43031,6.4349,6.42258,6.42384,3936
2018.01.17,3:00,6.42415,6.42814,6.41824,6.41894,5412
2018.01.17,4:00,6.41894,6.42754,6.41681,6.4255,4826
2018.01.17,5:00,6.4255,6.43264,6.42508,6.43164,3349
2018.01.17,6:00,6.43154,6.43694,6.43046,6.43649,2709
2018.01.17,7:00,6.43649,6.44144,6.43561,6.43655,3569
2018.01.17,8:00,6.43704,6.44281,6.43376,6.44159,3531
2018.01.17,9:00,6.44159,6.44204,6.43446,6.43799,4478
2018.01.17,10:00,6.43801,6.43964,6.43322,6.43754,3458
2018.01.17,11:00,6.43754,6.43934,6.43479,6.4355,2279
2018.01.17,12:00,6.43564,6.43614,6.43162,6.43224,2042
2018.01.17,13:00,6.43234,6.43736,6.43164,6.43678,1950
2018.01.17,14:00,6.43677,6.43874,6.43484,6.43614,1904
2018.01.17,15:00,6.43608,6.43684,6.43224,6.43383,2402
2018.01.17,16:00,6.43381,6.43504,6.43104,6.4335,2452
2018.01.17,17:00,6.43349,6.43456,6.42924,6.43027,2743
2018.01.17,18:00,6.43024,6.43144,6.42744,6.42879,2140
2018.01.17,19:00,6.42877,6.42884,6.42254,6.42262,1435
2018.01.17,20:00,6.42262,6.42374,6.41409,6.41538,2094
2018.01.17,21:00,6.41534,6.42724,6.41514,6.42689,1908
2018.01.17,22:00,6.42689,6.42784,6.42334,6.42767,2148
2018.01.18,1:00,6.43984,6.44206,6.43664,6.43844,1795
2018.01.18,2:00,6.43874,6.44214,6.43534,6.44124,3350
2018.01.18,3:00,6.44124,6.44264,6.435,6.43794,4184
2018.01.18,4:00,6.43794,6.43804,6.43394,6.43718,3184
2018.01.18,5:00,6.43714,6.44084,6.43648,6.43906,2080
2018.01.18,6:00,6.43907,6.43928,6.43684,6.43776,1948
2018.01.18,7:00,6.43776,6.43858,6.43383,6.43498,2763
2018.01.18,8:00,6.43498,6.43879,6.43435,6.43543,2307
2018.01.18,9:00,6.43536,6.43784,6.42768,6.42944,3137
2018.01.18,10:00,6.42934,6.42954,6.42469,6.42784,3226
2018.01.18,11:00,6.42776,6.42874,6.42347,6.42548,2045
2018.01.18,12:00,6.42548,6.42605,6.41989,6.42011,2162
2018.01.18,13:00,6.42011,6.42133,6.41763,6.41916,2125
2018.01.18,14:00,6.41928,6.41994,6.41694,6.41947,1710
2018.01.18,15:00,6.41944,6.42134,6.41596,6.41747,2548
2018.01.18,16:00,6.41744,6.41874,6.41627,6.41694,2485
2018.01.18,17:00,6.41694,6.42268,6.41625,6.42048,2712
2018.01.18,18:00,6.4204,6.42235,6.41665,6.42214,2982
2018.01.18,19:00,6.42204,6.42304,6.41864,6.42213,1407
2018.01.18,20:00,6.42216,6.42494,6.42044,6.4208,1513
2018.01.18,21:00,6.42069,6.42114,6.41909,6.41971,1096
2018.01.18,22:00,6.41965,6.42394,6.41932,6.41967,1489
2018.01.19,1:00,6.42006,6.42033,6.41714,6.41774,1608
2018.01.19,2:00,6.41765,6.41816,6.40094,6.40627,4545
2018.01.19,3:00,6.40623,6.40867,6.39598,6.39934,5289
2018.01.19,4:00,6.39934,6.40314,6.39137,6.40215,5003
2018.01.19,5:00,6.40219,6.40314,6.39403,6.39514,3277
2018.01.19,6:00,6.39514,6.39684,6.39202,6.39359,2108
2018.01.19,7:00,6.39359,6.39674,6.39294,6.39344,2033
2018.01.19,8:00,6.39344,6.39574,6.38744,6.39468,3661
2018.01.19,9:00,6.39468,6.40075,6.39122,6.40069,4395
2018.01.19,10:00,6.40074,6.40494,6.39604,6.39758,3619
2018.01.19,11:00,6.39714,6.40046,6.39331,6.39502,2758
2018.01.19,12:00,6.39502,6.39924,6.39404,6.39711,1922
2018.01.19,13:00,6.39704,6.40124,6.39634,6.39904,2000
2018.01.19,14:00,6.39914,6.40224,6.39696,6.40184,2265
2018.01.19,15:00,6.40194,6.40194,6.39714,6.39908,3200
2018.01.19,16:00,6.39908,6.40184,6.3973,6.39774,3009
2018.01.19,17:00,6.39772,6.40334,6.39661,6.40263,3348
2018.01.19,18:00,6.40264,6.40364,6.40132,6.40274,2056
2018.01.19,19:00,6.40264,6.40294,6.39457,6.39511,1392
2018.01.19,20:00,6.39443,6.39931,6.39443,6.39794,1814
2018.01.19,21:00,6.39794,6.39824,6.39634,6.39735,1716
2018.01.19,22:00,6.39735,6.39954,6.3968,6.39944,843
2018.01.22,1:00,6.39464,6.39825,6.39413,6.39564,1939
2018.01.22,2:00,6.39567,6.40024,6.39266,6.39964,2003
2018.01.22,3:00,6.39974,6.41064,6.39954,6.40728,4132
2018.01.22,4:00,6.40726,6.40934,6.40284,6.40444,2204
2018.01.22,5:00,6.40454,6.40624,6.4026,6.40546,1748
2018.01.22,6:00,6.40543,6.40834,6.40476,6.40659,1174
2018.01.22,7:00,6.40674,6.40857,6.40564,6.40694,1701
2018.01.22,8:00,6.40689,6.41324,6.40584,6.41287,2681
2018.01.22,9:00,6.41287,6.4131,6.40334,6.40415,3130
2018.01.22,10:00,6.40424,6.40644,6.40224,6.40391,2868
2018.01.22,11:00,6.40389,6.40414,6.40034,6.40344,1887
2018.01.22,12:00,6.40344,6.40483,6.401,6.40419,1344
2018.01.22,13:00,6.40415,6.40734,6.40396,6.40674,1232
2018.01.22,14:00,6.4067,6.40774,6.40544,6.40694,1427
2018.01.22,15:00,6.40684,6.40777,6.40302,6.40444,1824
2018.01.22,16:00,6.40443,6.40694,6.40264,6.40614,1965
2018.01.22,17:00,6.40604,6.40664,6.40234,6.40274,1865
2018.01.22,18:00,6.40264,6.40884,6.40254,6.40844,1480
2018.01.22,19:00,6.40838,6.40954,6.40654,6.40674,1601
2018.01.22,20:00,6.4067,6.4069,6.4033,6.40397,985
